;familyKey;family;rank
663;8672.0;pinnotheridae;family
664;8673.0;porcellanidae;family
665;8674.0;potamidae;family
666;8675.0;procarididae;family
667;8676.0;psalidopodidae;family
668;8677.0;raninidae;family
669;8678.0;strahlaxiidae;family
670;8679.0;stylodactylidae;family
671;8680.0;synaxidae;family
672;8681.0;thalassinidae;family
673;8682.0;thaumastochelidae;family
674;8683.0;acanthaspidiidae;family
675;5770.0;scyphacidae;family
676;8685.0;alloniscidae;family
677;8686.0;amphisopidae;family
678;8687.0;ancinidae;family
679;8688.0;antheluridae;family
680;8689.0;anthuridae;family
681;8690.0;anuropidae;family
682;8691.0;arcturidae;family
683;8692.0;arcturididae;family
684;8693.0;armadillidae;family
685;8694.0;atlantasellidae;family
686;8695.0;balloniscidae;family
687;8696.0;berytoniscidae;family
688;8697.0;bopyridae;family
689;8698.0;pentalaminaceae;family
690;8699.0;myxochloridaceae;family
691;8704.0;pleurochloridaceae;family
692;8701.0;botrydiopsidaceae;family
693;8702.0;botryochloridaceae;family
694;4585.0;characiopsidaceae;family
695;8704.0;pleurochloridaceae;family
696;8705.0;trypanochloridaceae;family
697;8706.0;rhizogranulochloridaceae;family
698;8707.0;stipitococcaceae;family
699;8708.0;bicosoecaceae;family
700;8710.0;cafeteriaceae;family
701;8711.0;buddelundiellidae;family
702;8734.0;andreaeobryaceae;family
703;8735.0;andreaeaceae;family
704;8736.0;bryaceae;family
705;8737.0;bartramiaceae;family
706;8738.0;lembophyllaceae;family
707;8739.0;hypnodendraceae;family
708;8740.0;catoscopiaceae;family
709;8741.0;mitteniaceae;family
710;8742.0;mniaceae;family
711;8743.0;ditrichaceae;family
712;8744.0;sorapillaceae;family
713;8745.0;ephemeraceae;family
714;8746.0;oedipodiaceae;family
715;8747.0;grimmiaceae;family
716;8748.0;ptychomitriaceae;family
717;8749.0;splachnobryaceae;family
718;8750.0;hookeriaceae;family
719;8751.0;hypnaceae;family
720;8752.0;plagiotheciaceae;family
721;8753.0;stereophyllaceae;family
722;8754.0;cyrtopodaceae;family
723;8755.0;hydropogonaceae;family
724;8756.0;fontinalaceae;family
725;8757.0;lepyrodontaceae;family
726;8758.0;prionodontaceae;family
727;8759.0;regmatodontaceae;family
728;8760.0;ptychomniaceae;family
729;8761.0;wardiaceae;family
730;8762.0;climaciaceae;family
731;8763.0;hedwigiaceae;family
732;8764.0;cryphaeaceae;family
733;8765.0;leptodontaceae;family
734;8766.0;microtheciellaceae;family
735;8767.0;helicophyllaceae;family
736;8768.0;rhachitheciaceae;family
737;8769.0;bryobartramiaceae;family
738;8770.0;encalyptaceae;family
739;8771.0;schistostegaceae;family
740;8772.0;calomniaceae;family
741;8773.0;tetraphidaceae;family
742;8774.0;bryopsidaceae;family
743;8775.0;chaetosiphonaceae;family
744;8776.0;codiaceae;family
745;8777.0;derbesiaceae;family
746;8778.0;halimedaceae;family
747;8779.0;ostreobiaceae;family
748;8780.0;pseudocodiaceae;family
749;8782.0;characeae;family
750;8783.0;schizomeridaceae;family
751;8784.0;marantaceae;family
752;8785.0;coccomyxaceae;family
753;8786.0;dictyosphaeriaceae;family
754;8787.0;tricholomataceae;family
755;8788.0;auriculariaceae;family
756;8789.0;boletaceae;family
757;8790.0;boletinellaceae;family
758;8791.0;endosphaeraceae;family
759;8792.0;hormotilaceae;family
760;8793.0;hydrodictyaceae;family
761;8794.0;micractiniaceae;family
762;8795.0;scenedesmaceae;family
763;8796.0;chlorocystidaceae;family
764;8797.0;microsporaceae;family
765;8798.0;rubiaceae;family
766;8799.0;strelitziaceae;family
767;8800.0;araliaceae;family
768;8801.0;campanulaceae;family
769;8802.0;sapotaceae;family
770;8803.0;nothofagaceae;family
771;8804.0;ticodendraceae;family
772;8805.0;garryaceae;family
773;8806.0;centroplacaceae;family
774;8807.0;phyllanthaceae;family
775;8808.0;putranjivaceae;family
776;8809.0;phaeophilaceae;family
777;8810.0;prasiolaceae;family
778;8811.0;chlorangiellaceae;family
779;8812.0;gloeocystaceae;family
780;8813.0;nautococcaceae;family
781;8814.0;tetrasporaceae;family
782;8815.0;borodinellaceae;family
783;8816.0;chlamydomonadaceae;family
784;8817.0;dunaliellaceae;family
785;8818.0;goniaceae;family
786;8820.0;tetrabaenaceae;family
787;8821.0;volvocaceae;family
788;8822.0;chaetosphaeridiaceae;family
789;8823.0;mesostigmataceae;family
790;8824.0;enemosphaeraceae;family
791;4857.0;ulotrichaceae;family
792;8826.0;monostromataceae;family
793;8827.0;hydatellaceae;family
794;8829.0;collinsiellaceae;family
795;8830.0;podocarpaceae;family
796;8831.0;sciadopityaceae;family
797;8832.0;bombycidae;family
798;8833.0;brachodidae;family
799;8834.0;carposinidae;family
800;8835.0;carthaeidae;family
801;8836.0;castniidae;family
802;8837.0;chrysopolomidae;family
803;8838.0;coleophoridae;family
804;8839.0;cosmopterigidae;family
805;8840.0;cossidae;family
806;8841.0;crambidae;family
807;8842.0;crinopterygidae;family
808;8843.0;vermipsyllidae;family
809;8844.0;chaetiliidae;family
810;8845.0;ancistropsyllidae;family
811;8846.0;ceratophyllidae;family
812;8847.0;chimaeropsyllidae;family
813;8848.0;closteriaceae;family
814;8849.0;desmidiaceae;family
815;8850.0;peniaceae;family
816;8851.0;mesotaeniaceae;family
817;8852.0;malacopsyllidae;family
818;8853.0;pulicidae;family
819;8854.0;rhopalopsyllidae;family
820;8855.0;momphidae;family
821;8856.0;neopseustidae;family
822;8857.0;neotheoridae;family
823;8858.0;palaeosetidae;family
824;8859.0;pantheidae;family
825;8860.0;plutellidae;family
826;8861.0;psychidae;family
